,,,,,,,,,,,,,,,Regressed based on evaluation data,,,,Regressed based on evaluation mixed vector,,,Loss,,
,rep_dt,draft_mean,trim,rpm,w_dir_rel,swell_dir_rel,amb_temp,cpress,w_force,speed_stw_calc,pwr,app_slip,main_fuel_per_dst,speed_stw_calc_pred,pwr_pred,app_slip_pred,main_fuel_per_dst_pred,pwr_pred_x,speed_stw_calc_second_pred,app_slip_second_pred,main_fuel_per_dst_second_pred,speed_stw_calc_loss,app_slip_loss,main_fuel_per_dst_loss
0,20-05-2015 12:00,8.325,0.25,104.8,-0.391304348,113.1014493,9,1014,3.985507246,13.18181818,4750,-0.87,0,11.2206317,4635.40328,12.66711128,0.06637393,4635.40328,11.24314107,12.65186171,0.065953911,0.200606946,-0.120387131,-0.63280832
1,21-05-2015 12:00,8.325,0.25,106.5,-0.391304348,113.1014493,8,1013,3.985507246,12.83333333,4000,-0.03,0,11.33726193,4797.021414,13.14073439,0.068275797,4797.021414,11.35913221,13.1255236,0.067795785,0.192906228,-0.115752913,-0.703048537
2,22-05-2015 12:00,8.325,0.25,106.1,-0.391304348,113.1014493,8,1005,3.985507246,11.4,4300,13.82,0.009824561,11.30167353,4761.068867,13.06631366,0.067847999,4761.068867,11.32383948,13.05103844,0.067379669,0.196129867,-0.116905365,-0.690263597
3,23-05-2015 12:00,8.325,0.25,108.6,-0.391304348,113.1014493,25,1010,3.985507246,9.208333333,4750,32.08,0.095022624,12.05966722,4817.327234,11.24146203,0.069091516,4817.327234,12.07107364,11.22357964,0.068813199,0.094583132,-0.159075375,-0.402823939
4,24-05-2015 12:00,8.325,0.25,116.83,-0.391304348,113.1014493,25,1018,3.985507246,11.625,5600,20.19,0.086021505,12.77893456,5552.52214,12.86680321,0.077891773,5552.52214,12.78464567,12.84853231,0.077394431,0.044691579,-0.142000314,-0.638503823
5,25-05-2015 12:00,8.325,0.25,111.17,-0.391304348,113.1014493,26,10231,3.985507246,13.20833333,5200,4.7,0.070977918,13.07914384,5303.667466,6.071325731,0.071854973,5303.667466,13.06539095,6.154090749,0.070267665,-0.105151344,1.363211615,-2.209044869
6,26-05-2015 12:00,8.325,0.25,117.9,-0.391304348,113.1014493,31,1020,3.985507246,13.45833333,5290,7.89,0.07120743,13.06286569,5589.142281,12.25976452,0.078531311,5589.142281,13.06464933,12.24056516,0.078096031,0.013654236,-0.156604638,-0.554275266
7,27-05-2015 12:00,8.325,0.25,117.76,-0.391304348,113.1014493,31,1014,3.985507246,12.625,5330,14.01,0.076237624,13.05014484,5576.466348,12.23564084,0.078381547,5576.466348,13.0520399,12.2163839,0.077950792,0.01452131,-0.157384029,-0.549561821
8,28-05-2015 12:00,8.105,1.03,119.39,-0.391304348,113.1014493,32,1014,3.985507246,13.54166667,5900,9.03,0.073846154,13.15330298,5609.748447,12.182415,0.078264024,5609.748447,13.1485012,12.16468424,0.077757844,-0.036506264,-0.145543899,-0.646759931
