,rep_dt,draft_mean,trim,speed_stw_calc,w_dir_rel,swell_dir_rel,amb_temp,cpress,w_force,pwr,app_slip,main_fuel_per_dst
0,01-01-2015 12:00,10.195,0.01,11.5,108.5766359,300,25,1019,6,4330,11.05,0.064492754
1,02-01-2015 12:00,9.5,0.4,11.85185185,22.97963415,300,25,1015,3,3800,2.15,0.05
2,03-01-2015 12:00,9.5,0.4,11.20833333,100.2382341,320,29,1014,6,4100,11.68,0.063197026
3,04-01-2015 12:00,9.5,0.4,10.58333333,94.48512276,300,26,1013,6,4560,18.74,0.070866142
4,05-01-2015 12:00,9.5,0.4,11.20833333,78.38369922,300,28,1012,6,4330,14.64,0.065055762
5,06-01-2015 12:00,9.5,0.4,11.29166667,36.61109687,1,31,1012,3,4600,15.1,0.066420664
6,07-01-2015 12:00,5.43,1.98,12.14659686,-20.29328948,275,31,1010,3,3936,5.2,0.056034483
7,08-01-2015 12:00,4.9,2,5.172413793,-31.47709923,275,29,1010,3,0,10.84,0.116666667
8,09-01-2015 12:00,5.075,1.85,10.08,-56.49840125,275,29,1010,4,2350,-0.83,0.030952381
9,10-01-2015 12:00,5.075,1.85,10,-40.36750988,315,30,1010,3,2450,8.09,0.040833333
10,11-01-2015 12:00,5.075,1.85,10.16666667,268.8516692,320,29,1011,4,2350,-3.92,0.038934426
11,12-01-2015 12:00,5.075,1.85,10.33333333,269.9520433,275,29,1014,4,2450,10.69,0.039112903
12,13-01-2015 12:00,5.075,1.85,10.84,-51.61571128,275,29,1014,3,2350,-0.6,0.038745387
13,14-01-2015 12:00,5.075,1.85,10.95833333,-50.86125969,275,29,1015,3,2500,-0.67,0.041064639
14,15-01-2015 12:00,5.075,1.85,10,-57.44560376,275,28,1017,3,2500,5.24,0.039583333
15,16-01-2015 12:00,5.075,1.85,8.75,-65.50094274,0,30,1018,3,2350,17.5,0.046666667
16,17-01-2015 12:00,5.075,1.85,9.416666667,-60.46306377,0,30,1018,3,2350,9.77,0.041150442
17,18-01-2015 12:00,5.075,1.85,9.8,-56.34219447,315,30,1018,3,2250,5.36,0.03877551
18,19-01-2015 12:00,5.075,1.85,9.916666667,-55.63682849,315,30,1018,3,2250,3.08,0.03907563
19,20-01-2015 12:00,5.075,1.85,9.458333333,-56.65112423,315,30,1018,3,2350,9.88,0.04185022
20,21-01-2015 12:00,5.075,1.85,10,-53.65096294,315,30,1018,3,2250,4.54,0.0392
21,22-01-2015 12:00,5.075,1.85,10.08333333,-82.26546667,45,30,1018,4,2250,3.58,0.039256198
22,23-01-2015 12:00,5.075,1.85,9,251.7367433,315,30,1018,5,2350,10.81,0.039351852
23,24-01-2015 12:00,5.075,1.85,9.75,0,0,25,1022,4,2350,3.57,0.037179487
24,25-01-2015 12:00,10.385,0.13,10.55555556,40.78897052,355,26,1017,3,3936,16.5,0.063157895
25,26-01-2015 12:00,10.385,0.13,11.41666667,52.71748665,315,25,1016,4,3936,11.63,0.06350365
26,27-01-2015 12:00,10.385,0.13,11.69565217,69.02506321,315,21,1010,7,4330,11.3,0.064684015
27,28-01-2015 12:00,10.385,0.13,11.375,34.95197416,230,24,1005,3,4330,11.48,0.064835165
28,29-01-2015 12:00,10.385,0.13,11.29166667,35.13788567,230,23,1013,3,4330,12.87,0.064206642
29,30-01-2015 12:00,10.385,0.13,11.73913043,34.15942705,230,24,1017,3,3936,7.11,0.057407407
