,Unnamed: 0,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
0,0,1011,7,10.5,66.3,9270,8253.570469349177,1033128.9907790521
1,1,1011,6,10.5,64.4,8050,7607.678316389322,195648.4717921844
2,2,1009,6,10.5,65.3,8700,7813.636892232599,785639.5588110851
3,3,1012,5,10.5,63.7,9500,7195.556728223498,5310458.79283599
4,4,1012,4,10.5,63.9,6800,6976.782563907567,31252.074901733093
5,5,1013,3,10.5,64.4,6850,6808.398151671299,1730.7137843642195
6,6,1012,5,10.5,60.7,5046,6605.149819530096,2430948.1597407297
7,7,1012,4,10.5,63.8,6750,6956.841817734977,42783.53756390935
8,8,1012,4,10.5,65.4,7375,7277.773905043793,9452.913540433363
9,9,1013,5,10.5,63.8,6900,7203.846752106098,92322.8487654248
10,10,1012,5,10.5,62.2,6525,6898.5881028746135,139568.07060945278
11,11,1014,4,10.5,59.9,5875,6170.930461506512,87574.83804745722
12,12,1015,4,10.5,62.5,6550,6666.150788443168,13491.005655969473
13,13,1015,5,10.5,66.5,8000,7722.099094884456,77228.91306403883
14,14,1016,5,10.5,63.7,7050,7149.316824008445,9863.831531124459
15,15,1012,5,10.5,63.7,7025,7195.556728223498,29089.59754230412
16,16,1018,7,10.5,64.5,8000,7803.645977338512,38554.90221534805
17,17,1020,7,10.5,62.3,7300,7347.400433366366,2246.8010833193116
18,18,1020,4,10.5,63.0,6800,6709.571466163,8177.31973190946
19,19,1020,4,10.5,62.0,6350,6514.591953250421,27090.511074788865
20,20,1021,5,10.5,64.2,7525,7190.623846546262,111807.41199851772
21,21,1025,7,10.5,60.5,6325,6944.925547120321,384307.68397242983
22,22,1022,5,10.5,63.8,7000,7100.455423416858,10091.292093860251
23,23,1012,3,10.5,65.1,6650,6960.274225570648,96270.09505346537
24,24,1014,3,10.5,64.4,6650,6797.135243196256,21648.77979042138
25,25,1013,3,10.5,64.1,6650,6748.47178104564,9696.691662300376
26,26,1013,3,10.5,64.7,6650,6868.465281462122,47727.07920432428
27,27,1013,3,10.5,64.1,6650,6748.47178104564,9696.691662300376
28,28,1012,3,10.5,64.8,6650,6899.9297795489965,62464.89470541
29,29,1012,3,10.5,64.8,6650,6899.9297795489965,62464.89470541
30,30,1011,3,10.5,65.2,6650,6991.980366602009,116950.57114124438
31,31,1012,3,10.5,64.0,6650,6739.7006200481965,8046.201237030907
32,32,1013,3,10.5,65.3,6650,6989.021691743653,114935.70747272835
33,33,1014,3,10.5,63.8,6650,6677.60066140379,761.796509926645
34,34,1016,4,10.5,64.6,6650,7070.545526972553,176858.54025662196
35,35,1096,4,10.5,65.8,6650,6449.653221535817,40138.8316409766
36,36,1019,4,10.5,64.1,6650,6937.092236848224,82421.9524585169
37,37,1019,3,10.5,64.9,6650,6840.5528193598375,36310.376965982854
38,38,1026,7,10.5,64.1,7000,7628.591730573073,395127.56374485046
39,39,1032,7,10.5,64.8,7000,7694.166496732519,481867.12518589786
40,40,1008,6,10.5,72.4,9100,9306.026367570212,42446.864134175994
41,41,1006,4,10.5,67.5,6650,7780.666480098875,1278406.6892191789
42,42,1015,4,10.5,64.93,6475,7148.0498085854515,452996.0448369129
43,43,1019,3,10.5,65.14,6650,6888.356014843725,56813.58981218184
44,44,1017,3,10.5,65.35,6650,6953.08569465016,91860.93830156996
45,45,1018,3,10.5,65.28,6650,6927.661578323605,77095.9520771553
46,46,1017,4,10.5,64.79,6475,7096.910597048535,386772.79072126554
47,47,1016,4,10.5,65.21,6650,7192.46622994899,294269.6106350706
48,48,1013,4,10.5,65.14,6650,7213.578979966552,317621.2666601389
49,49,1015,5,10.5,65.35,6650,7490.10235419958,705771.9655316767
50,50,1014,5,10.5,65.21,6650,7473.99177597527,678962.4468748792
