,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
0,1017,7,11.25,65.0,6464,7483.142224372552,1038650.873499033
1,1020,6,11.25,65.2,6329,7279.327658329275,903122.658185604
2,1018,4,11.25,65.5,6284,7295.85488292564,1023850.30410046
3,1014,4,11.25,65.2,6419,7440.881268897384,1044241.3277233276
4,1014,4,11.25,63.9,6104,7092.2119485748635,976562.8553061287
5,1011,5,11.25,63.9,6126,7349.667948513912,1497363.248220246
6,1011,4,11.25,64.4,6261,7395.431935925847,1286935.817248465
7,1011,3,11.25,64.1,6081,7226.630187754688,1312468.5270948426
8,1011,2,11.25,63.8,6081,7057.8284395835335,954193.800379201
9,1012,2,11.25,64.2,6351,7108.739173171229,574168.6545582173
10,1009,2,11.25,64.1,6284,7251.034858834892,935156.4182018187
11,1009,2,11.25,63.9,6419,7197.39342493912,605896.3239884542
12,1007,2,11.25,62.9,6081,7041.930523867961,923387.4717011536
13,1007,5,9.75,63.3,6246,7055.1556016161685,654732.7876268235
14,1008,4,9.75,62.7,6216,6749.519568397505,284643.1298630603
15,1010,3,9.75,64.1,6374,6923.92573993271,302418.31944053835
16,1012,3,9.75,64.7,6486,6972.105773212328,236298.82275035538
17,1012,4,9.75,64.0,6329,6872.700351904622,295610.07266120985
18,1012,4,9.75,64.8,6757,7087.26608748771,109075.6885444398
19,1012,4,9.75,65.4,7185,7248.190389175029,3993.0252840916146
20,1014,6,9.75,65.5,2005,7338.946032370207,28450980.27623787
21,1016,5,9.75,64.1,6419,6762.372129364601,117904.41922438047
22,1019,7,9.75,64.6,6599,6904.038506147475,93048.49023268335
23,1020,8,9.75,64.0,7027,6775.081667583808,63462.846207355135
24,1021,7,9.75,62.3,6486,6174.417747938395,97083.49979978142
25,1024,8,9.75,63.9,6689,6522.772413820519,27631.61040705664
26,1027,4,9.75,64.7,6712,6214.863357482067,247144.84133400317
27,1024,2,9.75,65.1,6532,6314.5834332301665,47269.96350598146
28,1020,2,9.75,64.0,6059,6245.044083618823,34612.40104956749
29,1026,2,9.75,64.4,6284,6014.094146187265,72849.1699223813
30,1021,2,11.25,71.1,8050,8452.019434740712,161619.62590924185
31,1015,5,11.25,73.2,9100,9618.50608785192,268848.5631395028
32,1014,7,11.25,72.8,7186,9744.274548919218,6544768.66764783
33,1019,6,11.25,73.0,8925,9427.715714468242,252723.0895733154
34,1022,5,11.25,72.9,9100,9143.438997581308,1886.9465108689071
35,1021,5,11.25,73.2,8925,9280.273282628816,126219.10534985432
36,1016,5,11.25,74.7,9625,9964.444707866362,115222.70969847955
37,1014,5,11.25,76.5,11025,10559.96188133601,216260.451810543
38,1014,4,11.25,78.4,11200,10981.215906018351,47866.47977937092
39,1014,3,11.25,70.3,8750,8720.398235912076,876.2644371170824
40,1013,3,11.25,70.4,8750,8803.591087063814,2872.004612681344
41,1013,3,11.25,65.4,7000,7462.55523966951,213957.34974571806
42,1013,3,11.25,64.3,6300,7167.52735324276,752603.7086243884
43,1013,3,11.25,64.9,6650,7328.451654930079,460296.64807736274
44,1014,3,11.25,64.1,6300,7057.513785143137,573827.1346818832
45,1013,5,11.25,65.3,6475,7612.413717376617,1293709.964476494
46,1015,4,13.5,81.0,12775,12160.79728549828,377244.9745012814
47,1015,5,13.5,82.95,13300,12772.140863309558,278635.26818757877
48,1015,5,13.5,79.63,11725,11881.693060639736,24552.715252648097
49,1015,4,13.5,80.2,11725,11946.231549915192,48943.39867787803
50,1014,5,13.5,79.71,11025,11959.521768401897,873330.9356170091
51,1016,3,13.5,77.0,11025,10943.256876051488,6681.938312861832
52,1018,3,13.5,79.0,11550,11366.92694660151,33515.74288064627
53,1020,3,13.5,79.8,11375,11468.748413776897,8788.76508568429
54,1018,3,13.5,76.8,10500,10776.871173748015,76657.64685260366
55,1019,3,13.5,77.23,11375,10835.828122420076,290706.31357306015
56,1019,3,13.5,79.0,11375,11310.554812397659,4153.182205100968
57,1018,3,13.5,79.3,11375,11447.389097445168,5240.181428926008
58,1020,4,13.5,77.7,11725,10993.852955198789,534576.0011215447
59,1020,5,13.5,78.9,11550,11404.041155900919,21303.98417073984
60,1020,6,13.5,78.6,11550,11411.918602384754,19066.47236737961
61,1022,5,13.5,77.8,11550,10996.269001066468,306618.01917992695
62,1020,3,13.5,76.0,11200,10449.561169757226,563158.4379361433
63,1019,3,13.5,64.2,6300,7341.088704110516,1083865.6898265139
64,1019,3,11.5,65.3,6475,7157.347814502823,465598.5399567789
65,1018,3,11.5,64.0,6300,6865.050628384155,319282.2126373285
66,1018,3,11.5,64.2,6300,6918.692062279928,382779.8679281903
67,1018,3,11.5,65.4,6475,7240.540665654562,586052.5107708299
68,1018,0,11.5,65.3,6475,6948.701156724182,224392.78588182767
69,1018,0,11.5,65.3,6475,6948.701156724182,224392.78588182767
70,1019,4,11.5,64.1,6650,6923.838808455686,74987.69301643009
71,1019,4,11.5,64.1,6650,6923.838808455686,74987.69301643009
72,1018,4,11.5,73.8,8925,9581.82048660449,431413.15162336
73,1018,3,11.5,72.9,8750,9252.09443674602,252098.8234113028
74,1018,2,11.5,73.3,9275,9271.037707210064,15.699764153181407
75,1018,0,11.5,73.1,8925,9040.717078659298,13390.442293442124
76,1018,5,11.5,73.4,9275,9562.877216140445,82873.29157277246
77,1018,4,11.5,72.9,9100,9340.434034073518,57808.52474086561
