,Unnamed: 0,cpress,w_force,speed_ship_sog,rpm,pwr,pred,square_diff
0,0,1011,7,10.5,66.3,9270,8280.699972941939,978714.5435370811
1,1,1011,6,10.5,64.4,8050,7643.318712074645,165389.66994862535
2,2,1009,6,10.5,65.3,8700,7846.025179263641,729272.9944516966
3,3,1012,5,10.5,63.7,9500,7223.515288264628,5182382.642764879
4,4,1012,4,10.5,63.9,6800,6992.046299135958,36881.78101181793
5,5,1013,3,10.5,64.4,6850,6804.192744890874,2098.3046206325816
6,6,1012,5,10.5,60.7,5046,6643.640614352304,2552455.5326280063
7,7,1012,4,10.5,63.8,6750,6972.717143338881,49602.92593703176
8,8,1012,4,10.5,65.4,7375,7281.983636092123,8652.043954642668
9,9,1013,5,10.5,63.8,6900,7228.472411554054,107894.12515213576
10,10,1012,5,10.5,62.2,6525,6933.577951308465,166935.9422954227
11,11,1014,4,10.5,59.9,5875,6190.136002237558,99310.6999062704
12,12,1015,4,10.5,62.5,6550,6678.322020453923,16466.540933377022
13,13,1015,5,10.5,66.5,8000,7721.615553059846,77497.9002981753
14,14,1016,5,10.5,63.7,7050,7166.027158234027,13462.301447864034
15,15,1012,5,10.5,63.7,7025,7223.515288264628,39408.31967478835
16,16,1018,7,10.5,64.5,8000,7832.170941040994,28166.593031065524
17,17,1020,7,10.5,62.3,7300,7378.185448489988,6112.964355580523
18,18,1020,4,10.5,63.0,6800,6703.10763690106,9388.130026896873
19,19,1020,4,10.5,62.0,6350,6509.816078930285,25541.179084650983
20,20,1021,5,10.5,64.2,7525,7190.812774681163,111681.10156630291
21,21,1025,7,10.5,60.5,6325,6958.4004816043425,401196.17009661306
22,22,1022,5,10.5,63.8,7000,7099.124118985203,9825.5909645926
23,23,1012,3,10.5,65.1,6650,6953.8688679780635,92336.28892626976
24,24,1014,3,10.5,64.4,6650,6789.8207123832235,19549.83161135211
25,25,1013,3,10.5,64.1,6650,6746.205277499639,9255.45541878257
26,26,1013,3,10.5,64.7,6650,6862.1802122821055,45020.442484079336
27,27,1013,3,10.5,64.1,6650,6746.205277499639,9255.45541878257
28,28,1012,3,10.5,64.8,6650,6895.881400586832,60457.66315454198
29,29,1012,3,10.5,64.8,6650,6895.881400586832,60457.66315454198
30,30,1011,3,10.5,65.2,6650,6987.570056282793,113953.54289876824
31,31,1012,3,10.5,64.0,6650,6741.248154210212,8326.225646770687
32,32,1013,3,10.5,65.3,6650,6978.155147064569,107685.80054496895
33,33,1014,3,10.5,63.8,6650,6673.845777600756,568.6211093847292
34,34,1016,4,10.5,64.6,6650,7069.862259684899,176284.31710770962
35,35,1096,4,10.5,65.8,6650,6152.049528637814,247954.67192982358
36,36,1019,4,10.5,64.1,6650,6930.100383176561,78456.22465565635
37,37,1019,3,10.5,64.9,6650,6814.606328830359,27095.243491008412
38,38,1026,7,10.5,64.1,7000,7639.878057791481,409443.9288429983
39,39,1032,7,10.5,64.8,7000,7688.949953325123,474652.0381866889
40,40,1008,6,10.5,72.4,9100,9232.767273363796,17627.148876456813
41,41,1006,4,10.5,67.5,6650,7774.12810287665,1263663.9916770558
42,42,1015,4,10.5,64.93,6475,7148.020506322908,452956.6019311431
43,43,1019,3,10.5,65.14,6650,6860.996302743345,44519.439771361314
44,44,1017,3,10.5,65.35,6650,6930.331594932507,78585.80311740316
45,45,1018,3,10.5,65.28,6650,6902.429153366904,63720.47746953186
46,46,1017,4,10.5,64.79,6475,7092.215623191699,380955.1255119171
47,47,1016,4,10.5,65.21,6650,7187.770110047072,289196.69126004016
48,48,1013,4,10.5,65.14,6650,7217.35579851207,321892.6021052682
49,49,1015,5,10.5,65.35,6650,7499.330261393455,721361.8929186742
50,50,1014,5,10.5,65.21,6650,7486.641475785196,699968.9590040311
51,51,1014,4,10.5,65.0,6650,7175.922947888511,276594.9471157413
52,52,1013,4,10.5,65.28,6825,7244.416616627978,175910.29830366056
53,53,1013,4,10.5,65.14,6825,7217.35579851207,153943.0726260438
54,54,1013,4,10.5,65.0,6825,7190.294980396161,133440.42270263165
55,55,1014,4,10.5,63.82,6300,6947.838909482996,419695.2526401179
56,56,1013,4,10.5,66.82,6825,7542.08561590297,514211.78053494176
57,57,1013,4,10.5,64.93,6825,7176.764571338208,123738.31364875326
58,58,1013,4,10.5,65.27,6825,7242.48370104827,174292.64064096104
59,59,1013,4,10.5,64.72,6825,7136.173344164344,96828.85011842109
60,60,1013,3,10.5,65.5,7000,7016.813458658725,282.69239206864836
61,61,1012,3,10.5,62.2,6525,6393.323349862818,17338.740191349872
62,62,1011,3,10.5,62.1,6600,6388.366226573391,44788.85405478526
63,63,1015,5,10.5,64.5,7800,7335.032437118297,216194.8345321505
64,64,1015,3,10.5,64.6,6900,6814.1069914697255,7377.608914381813
65,65,1014,4,10.5,64.8,7025,7137.264636294355,12603.348562303836
66,66,1011,3,10.5,65.1,7045,6968.2409004857145,5891.959358243981
67,67,1010,3,10.5,63.4,6700,6654.017284443048,2114.410129991548
68,68,1009,2,10.5,64.6,7100,6630.2118857928035,220700.8722503539
69,69,1011,2,10.5,64.2,7025,6524.151197589194,250849.52287633813
70,70,1013,2,10.5,64.2,7125,6495.407132573894,396387.1787138261
71,71,1012,3,10.5,62.8,6800,6509.298284645282,84507.48731017527
72,72,1011,4,10.5,63.2,6900,6871.114241064067,834.387069304842
73,73,1011,4,10.5,64.3,6975,7083.734954831918,11823.290402299248
74,74,1013,3,10.5,62.8,6550,6494.926252137632,3033.1177036076597
