,cpress,w_force,draft_mean,rpm,speed_sog,pwr,pred,lin_pred,diff,square,mahalanobi,f_critical
0,1020.0,8,17.645,64.0,7.791666666666667,7027.0,6657.746793752544,6657.656117954806,-369.25320624745564,136347.930324026,3.8081638067910766,4.968966343895817
1,1021.0,7,17.645,62.3,8.041666666666666,6486.0,6569.078144229934,6569.080190526151,83.07814422993397,6901.978048689711,3.1641906582755746,4.128697630759102
2,1012.0,4,17.645,65.4,8.916666666666666,7185.0,6518.28445053552,6518.429956782218,-666.7155494644803,444509.6238977239,3.026500860318993,3.949037299256559
3,1023.0,5,18.39,64.1,9.0,6475.0,6908.544900557529,6908.539617648014,433.5449005575292,187961.1807994379,2.0450952974259726,2.668480196373751
4,1027.0,4,17.645,64.7,9.083333333333334,6712.0,7254.059590442938,7254.012787189272,542.0595904429383,293828.599591166,2.5837076245537083,3.3712720566220966
5,1024.0,8,17.645,63.9,9.333333333333334,6689.0,6988.927704086975,6988.839811973196,299.9277040869747,89956.62767888386,3.5418712156680265,4.621502581817202
6,1021.0,2,18.385,65.35,9.333333333333334,7358.0,6973.065003875022,6973.145570062337,-384.93499612497817,148174.95124173697,2.3163408443478475,3.02240667169576
7,1021.0,2,18.39,64.8,9.458333333333334,6475.0,6904.539441543247,6904.628934091957,429.53944154324745,184504.1318412849,2.122891038403157,2.7699895951881373
8,1016.0,5,17.645,64.1,9.625,6419.0,6605.926781015774,6606.052489066351,186.9267810157744,34941.621460919276,1.637021814176769,2.136017963397944
9,1021.0,2,18.385,64.53,9.625,7408.0,6882.50231963377,6882.597469731103,-525.4976803662303,276147.8120702887,1.9876484166028987,2.593522386821913
10,1021.0,3,18.385,64.51,9.625,7185.0,6893.453057956788,6893.537497576215,-291.54694204321186,84999.61941474794,1.5993292264968766,2.0868359404866057
11,1022.0,4,18.385,65.03,9.625,7234.0,7048.067165404931,7048.116026381713,-185.93283459506893,34571.01898055726,1.5615747625468455,2.037573180212222
12,1021.0,2,18.385,64.82,9.666666666666666,7358.0,6929.092187185367,6929.184885984107,-428.90781281463296,183961.91189343223,1.9648346264440677,2.5637545088556926
13,1019.0,4,8.1,63.9,9.666666666666666,6475.0,6543.723996046167,6543.817933836681,68.72399604616658,4722.987632553519,3.4340012742665604,4.4807517802403245
14,1019.0,7,17.645,64.6,9.666666666666666,6599.0,6831.275717220197,6831.32533628134,232.2757172201973,53952.00881015706,2.6133005194176273,3.4098854425103386
15,1020.0,4,17.645,64.0,9.708333333333334,6059.0,6776.926816936211,6777.0242407170035,717.9268169362113,515418.9144761602,1.3816828255304996,1.8028466752813148
16,1010.0,3,17.645,64.1,9.876543209876543,6374.0,6375.067783412045,6375.194645541615,1.0677834120451735,1.1401614150388326,2.441981085441113,3.1863445065961593
17,1008.0,4,17.645,62.7,9.894736842105264,6216.0,6313.191168629634,6313.354132936956,97.19116862963438,9446.123259594026,2.893888307842761,3.776001856595869
18,1016.0,4,18.35,65.68,9.958333333333334,7358.0,6806.771420723652,6806.87699255724,-551.2285792763478,303852.94661102083,1.3872903484016696,1.8101634803961004
19,1024.0,2,17.645,65.1,10.0,6532.0,7210.646632362513,7210.728247161634,678.6466323625127,460561.2516169795,2.145015603770471,2.7988581592156234
20,1007.0,5,17.645,63.3,10.05181347150259,6246.0,6321.444935596886,6321.605995018107,75.44493559688635,5691.938307218329,3.2340648181859866,4.219870796231571
21,1020.0,3,18.385,65.79,10.125,7333.0,7083.862894590605,7083.952845865683,-249.1371054093952,62069.29729177209,1.3969825788875143,1.8228100916042524
22,1021.0,3,18.385,65.8,10.166666666666666,7309.0,7163.959901112144,7164.0444757875375,-145.0400988878564,21036.630285399166,1.509035701294441,1.9690191892737225
23,1018.0,4,18.39,72.9,10.166666666666666,9100.0,8578.145665881413,8578.243214232298,-521.8543341185868,272331.94603835366,3.061676172591205,3.9949347321624007
24,1021.0,3,18.385,64.6,10.208333333333334,6863.0,6968.685994803616,6968.779696194576,105.68599480361627,11169.529497630005,1.7737920403085732,2.3144784196640362
25,1012.0,4,17.645,64.8,10.208333333333334,6757.0,6516.729395341763,6516.849621354588,-240.27060465823706,57729.96346283485,1.9556246898300182,2.5517372040898065
26,1021.0,3,18.385,64.3,10.277777777777777,6857.0,6930.284815658151,6930.381858376375,73.28481565815127,5370.664206049214,1.9248504262044286,2.5115823452202806
27,1021.0,3,18.385,64.59,10.375,7185.0,6985.613029206809,6985.708943334535,-199.3869707931908,39755.16412208472,1.9461054670061095,2.5393163366503084
28,1020.0,2,18.385,65.71,10.5,7408.0,7100.218130113072,7100.318524542574,-307.7818698869278,94729.67943109374,1.8396060788499695,2.4003538596555813
29,1021.0,2,18.385,65.03,10.583333333333334,7333.0,7065.999946712171,7066.10025671657,-267.00005328782936,71289.02845570372,2.1291694560135648,2.778181796832248
30,1018.0,3,8.1,63.8,10.625,6300.0,6505.453411218983,6505.457638029171,205.4534112189831,42211.104181516566,2.0708302306659676,2.702059638755904
31,1020.0,5,8.155000000000001,63.7,10.75,6300.0,6653.576275354244,6653.643874305619,353.576275354244,125016.18249338017,1.7997217619879358,2.348312025797673
32,1019.0,4,8.08,64.1,10.791666666666666,6650.0,6626.170620423944,6626.205120333247,-23.829379576056454,567.8393309797765,1.6454005681819428,2.1469507248987085
33,1018.0,5,18.39,73.4,10.833333333333334,9275.0,8919.581184564722,8919.710126441843,-355.4188154352778,126322.53436541605,2.789680835356722,3.640029915829513
34,1018.0,4,18.39,73.4,11.125,9275.0,8980.212817124551,8980.38346046708,-294.7871828754487,86899.48318764324,2.6594556684191075,3.470109580342032
35,1012.0,3,17.645,64.7,11.166666666666666,6486.0,6527.031648123192,6527.089142181243,41.0316481231921,1683.5961477054536,2.674670899087712,3.4899627098140584
36,1012.0,4,17.645,64.0,11.208333333333334,6329.0,6481.097696519438,6481.175539873756,152.0976965194377,23133.709286518973,3.1759584548389728,4.144052481031315
37,1024.0,4,8.25,64.01,11.208333333333334,6912.0,6981.504231879941,6981.5734353464,69.50423187994056,4830.838249220546,2.033362025356077,2.6531703943334306
38,1011.0,5,7.995000000000001,63.9,11.25,6126.0,6268.793848793821,6268.697960669843,142.79384879382087,20390.08325335258,2.103702830802787,2.744952447995074
39,1017.0,4,8.93,64.45,11.25,7358.0,6602.045222324295,6602.040366797514,-755.9547776757054,571467.6258907252,0.9069679035093099,1.1834293943697354
40,1018.0,3,18.39,72.9,11.25,8750.0,8832.79098414839,8832.973882706885,82.79098414839063,6854.347056259069,2.5607985814099132,3.341379890704923
41,1020.0,3,8.155000000000001,63.8,11.291666666666666,6300.0,6656.95507183922,6656.941964085057,356.9550718392202,127416.92331174284,1.3597389869984329,1.7742139271502402
42,1018.0,0,18.39,73.1,11.291666666666666,8925.0,8844.605718415956,8844.812659546244,-80.39428158404371,6463.2405114145095,3.7217918884251535,4.856266581702648
43,1018.0,4,8.93,64.57,11.291666666666666,7209.0,6681.190659129434,6681.198823191909,-527.8093408705663,278582.70031022164,0.9071120051544467,1.1836174210043848
44,1018.0,3,8.93,65.49,11.291666666666666,7383.0,6792.628976461166,6792.619372812847,-590.3710235388344,348537.9454342909,1.0845356976555929,1.4151233123937577
45,1020.0,2,8.1,65.1,11.375,6475.0,6833.345002024187,6833.311962377402,358.3450020241871,128411.14047571468,1.7709197832606534,2.310730642696911
46,1019.0,4,8.08,64.1,11.375,6650.0,6664.059468200301,6664.056963182056,14.059468200301126,197.6686460752786,1.192854105978235,1.5564592823485557
47,1019.0,3,7.790000000000001,64.2,11.411764705882353,6300.0,6648.307555681996,6648.265961153893,348.30755568199584,121318.15334516663,1.2570456151045795,1.640217614341491
48,1013.0,3,9.085,64.3,11.416666666666666,6300.0,6357.986050847816,6357.857171744611,57.98605084781593,3362.382092925495,1.3001950334455499,1.6965198162353827
49,1019.0,3,8.1,65.4,11.416666666666666,6650.0,6838.845845179578,6838.828190954932,188.84584517957774,35662.753241589046,1.2522477716720115,1.6339572947362269
50,1014.0,4,7.995000000000001,63.9,11.416666666666666,6104.0,6368.66256176591,6368.564450942823,264.66256176591014,70046.2716004942,1.3161176669868369,1.717295978760679
