,alpha,ucl,diff,,,
0,0.5,4.366434491,0,,,
1,0.51,4.438376162,0.07194167169,,,
2,0.52,4.511121437,0.1446869469,,,
3,0.53,4.584720079,0.2182855882,,,
4,0.54,4.659224142,0.292789651,,,
5,0.55,4.734688229,0.3682537382,,,
6,0.56,4.811169769,0.4447352786,,,
7,0.57,4.888729322,0.5222948318,,,
8,0.58,4.967430916,0.6009964254,,,
9,0.59,5.047342418,0.6809079279,,,
10,0.6,5.128535954,0.7621014636,,,
11,0.61,5.211088367,0.8446538761,,,
12,0.62,5.295081739,0.9286472489,,centre,4.366434491
13,0.63,5.380603981,1.01416949,,,
14,0.64,5.467749486,1.101314995,,,
15,0.65,5.55661989,1.190185399,,,
16,0.66,5.647324923,1.280890432,,,
17,0.67,5.739983393,1.373548902,,,
18,0.68,5.834724312,1.468289821,,,
19,0.69,5.9316882,1.56525371,,,
20,0.7,6.031028599,1.664594108,,,
21,0.71,6.13291383,1.76647934,,,
22,0.72,6.237529068,1.871094577,,,
23,0.73,6.345078771,1.97864428,,,
24,0.74,6.455789575,2.089355085,,,
25,0.75,6.569913739,2.203479249,,,
26,0.76,6.687733286,2.321298795,,,
27,0.77,6.809565013,2.443130522,,,
28,0.78,6.935766602,2.569332111,,,
29,0.79,7.066744129,2.700309639,,,
30,0.8,7.202961391,2.8365269,,,
31,0.81,7.344951582,2.978517092,,,
32,0.82,7.493332105,3.126897614,,,
33,0.83,7.64882355,3.28238906,,,
34,0.84,7.812274374,3.445839884,,,
35,0.85,7.984693446,3.618258955,,,
36,0.86,8.167293693,3.800859203,,,
37,0.87,8.361551756,3.995117266,,,
38,0.88,8.569291255,4.202856765,,,
39,0.89,8.792801921,4.42636743,,,
40,0.9,9.035014935,4.668580445,,,
41,0.91,9.29976979,4.933335299,,,
42,0.92,9.592236937,5.225802447,,,
43,0.93,9.919620444,5.553185954,,,
44,0.94,10.2923987,5.925964211,,,
45,0.95,10.72669099,6.360256498,,,
46,0.96,11.2492605,6.882826013,,,
47,0.97,11.90974315,7.543308658,,,
48,0.98,12.81806345,8.451628958,,,
