,cpress,w_force,draft_mean,speed_ship_sog,rpm,pwr,pred,lower,upper
0,1019,2,18.4,13.0,75.39,11273,11856.616817451099,11007.150089066972,12706.083545835225
1,1019,2,18.4,13.0,79.24,12734,12901.313772423448,12054.315985237683,13748.311559609212
2,1013,3,18.4,9.8,64.97,7655,7521.384627712478,6768.54793682854,8274.221318596416
3,1010,4,7.685,9.8,63.84,7056,6582.1320904399945,5785.805610363877,7378.458570516112
4,1011,2,9.49,11.3,75.5,10628,10430.924503056418,9609.081590767944,11252.767415344892
5,1009,3,8.28,11.3,74.15,10182,9992.122831556304,9184.21269643686,10800.032966675748
6,1008,5,9.0,11.3,63.5,7200,7213.641709733369,6438.131336653829,7989.152082812909
7,1011,4,8.31,11.3,63.63,7061,7241.475604237004,6480.358734051484,8002.592474422523
8,1011,4,8.045,11.3,64.52,7408,7468.104709252046,6711.145005827364,8225.064412676727
9,1010,4,8.045,11.3,63.9,7011,7273.157384148346,6512.4199165110995,8033.894851785592
10,1010,2,8.045,11.3,64.44,7135,7321.988698566539,6557.9733165103335,8086.004080622744
11,1010,3,8.045,11.3,63.9,7011,7224.308579580161,6463.971577570768,7984.645581589553
12,1010,4,8.045,11.3,64.85,7333,7530.939749661003,6774.229223997778,8287.650275324228
13,1012,4,8.045,11.3,63.74,6986,7283.162232547621,6523.046289395581,8043.278175699661
14,1011,4,17.36,9.8,60.81,7432,6329.6305548742685,5564.824627240959,7094.436482507578
15,1013,2,17.36,9.8,62.69,7284,6795.491505343299,6033.4592395944965,7557.523771092101
16,1012,3,17.345,9.8,63.68,7432,7085.424430340439,6333.553709451204,7837.295151229675
17,1012,3,17.345,9.8,64.83,7507,7397.476767539972,6645.976989111872,8148.976545968071
18,1011,4,17.345,9.8,63.86,7110,7156.405796552425,6404.291882533793,7908.519710571058
19,1012,2,17.345,9.8,63.75,7160,7055.57011586266,6296.322900316121,7814.817331409198
20,1012,3,17.345,9.8,64.28,7160,7248.234345401065,6496.888778534489,7999.579912267642
21,1010,3,17.345,9.8,67.25,8101,8000.72259920239,7239.695022568123,8761.750175836656
22,1010,3,17.345,9.8,63.82,7036,7069.992584772478,6316.30305354211,7823.682116002846
23,1007,2,17.345,9.8,63.75,7110,6922.018051490725,6156.634990031751,7687.401112949699
24,1007,3,17.345,9.8,64.62,7482,7206.941232896819,6447.088652728838,7966.793813064801
25,1010,5,17.345,9.8,63.77,7432,7154.122700987131,6393.258294652945,7914.987107321317
26,1011,5,17.265,9.8,63.56,7309,7119.359902007944,6360.666796950662,7878.053007065226
27,1014,7,17.465,9.8,63.96,7829,7416.953047097113,6632.550757447141,8201.355336747085
28,1016,4,17.465,9.8,64.72,7829,7530.053351551456,6779.233469980244,8280.87323312267
29,1020,4,17.335,9.8,62.73,7309,7089.612954693268,6329.09795584717,7850.127953539366
