,cpress,w_force,draft_mean,speed_ship_sog,rpm,pwr
0,1019,2,18.4,13.0,75.39,11273
1,1019,2,18.4,13.0,79.24,12734
2,1013,3,18.4,9.8,64.97,7655
3,1010,4,7.685,9.8,63.84,7056
4,1011,2,9.49,11.3,75.5,10628
5,1009,3,8.28,11.3,74.15,10182
6,1008,5,9.0,11.3,63.5,7200
7,1011,4,8.31,11.3,63.63,7061
8,1011,4,8.045,11.3,64.52,7408
9,1010,4,8.045,11.3,63.9,7011
10,1010,2,8.045,11.3,64.44,7135
11,1010,3,8.045,11.3,63.9,7011
12,1010,4,8.045,11.3,64.85,7333
13,1012,4,8.045,11.3,63.74,6986
14,1011,4,17.36,9.8,60.81,7432
15,1013,2,17.36,9.8,62.69,7284
16,1012,3,17.345,9.8,63.68,7432
17,1012,3,17.345,9.8,64.83,7507
18,1011,4,17.345,9.8,63.86,7110
19,1012,2,17.345,9.8,63.75,7160
20,1012,3,17.345,9.8,64.28,7160
21,1010,3,17.345,9.8,67.25,8101
22,1010,3,17.345,9.8,63.82,7036
23,1007,2,17.345,9.8,63.75,7110
24,1007,3,17.345,9.8,64.62,7482
25,1010,5,17.345,9.8,63.77,7432
26,1011,5,17.265,9.8,63.56,7309
27,1014,7,17.465,9.8,63.96,7829
28,1016,4,17.465,9.8,64.72,7829
29,1020,4,17.335,9.8,62.73,7309
30,1020,4,17.335,9.8,63.93,7309
31,1020,3,9.015,11.3,63.15,7036
32,1015,3,9.015,11.3,63.83,7036
33,1013,3,9.015,11.3,64.3,7383
34,1011,6,9.015,11.3,65.56,8077
35,1011,6,9.015,11.3,72.37,9588
36,1010,3,8.31,11.3,69.12,8696
37,1011,3,8.31,11.3,65.51,7705
38,1011,2,8.31,11.3,66.37,7854
39,1012,3,7.885,11.3,68.52,8101
40,1012,2,7.885,11.3,65.28,7482
41,1012,2,7.885,11.3,66.08,7804
42,1011,3,7.885,11.3,65.96,7730
43,1012,3,7.885,11.3,65.34,7532
44,1010,5,7.885,11.3,64.24,7284
45,1011,5,17.83,9.8,64.53,7615
46,1011,4,17.83,9.8,64.43,7383
47,1013,3,17.83,9.8,64.14,7185
48,1012,2,17.83,9.8,63.89,7086
49,1012,2,17.83,9.8,64.53,7383
50,1011,3,17.83,9.8,64.85,7432
51,1010,3,17.83,9.8,64.48,7432
52,1011,2,17.83,9.8,65.89,6912
53,1012,3,17.83,9.8,65.42,7432
54,1012,5,17.83,9.8,65.14,7383
55,1014,5,17.83,9.8,65.2,7457
56,1015,4,17.83,9.8,66.1,7457
57,1016,4,17.83,9.8,64.82,7383
58,1014,3,17.83,9.8,65.74,7432
59,1024,7,17.83,9.8,64.13,7482
60,1030,7,17.8,9.8,64.83,7680
61,1032,3,13.31,9.8,64.8,7399
62,1021,7,13.285,9.8,64.33,7408
63,1025,4,8.995,12.5,70.26,9030
64,1021,2,8.995,12.5,72.52,10455
65,1017,4,8.995,12.5,71.84,10405
66,1012,4,8.995,12.5,72.16,10381
67,1008,5,8.995,12.5,74.18,11223
68,1008,3,8.995,12.5,76.78,12363
69,1008,3,8.995,12.5,70.64,9935
70,1008,2,8.995,12.5,72.33,10158
