,cpress,w_force,speed_ship_sog,rpm,pwr
0,1011.0,7,10.5,66.3,9270.0
1,1011.0,6,10.5,64.4,8050.0
2,1009.0,6,10.5,65.3,8700.0
3,1012.0,5,10.5,63.7,9500.0
4,1012.0,4,10.5,63.9,6800.0
5,1013.0,3,10.5,64.4,6850.0
6,1012.0,5,10.5,60.7,5046.0
7,1012.0,4,10.5,63.8,6750.0
8,1012.0,4,10.5,65.4,7375.0
9,1013.0,5,10.5,63.8,6900.0
10,1012.0,5,10.5,62.2,6525.0
11,1014.0,4,10.5,59.9,5875.0
12,1015.0,4,10.5,62.5,6550.0
13,1015.0,5,10.5,66.5,8000.0
14,1016.0,5,10.5,63.7,7050.0
15,1012.0,5,10.5,63.7,7025.0
16,1018.0,7,10.5,64.5,8000.0
17,1020.0,7,10.5,62.3,7300.0
18,1020.0,1900-01-05 00:00:00+00:00,10.5,63.0,6800.0
19,1020.0,4,10.5,62.0,6350.0
20,1021.0,5,10.5,64.2,7525.0
21,1025.0,7,10.5,60.5,6325.0
22,1022.0,5,10.5,63.8,7000.0
23,1012.0,3,10.5,65.1,6650.0
24,1014.0,3,10.5,64.4,6650.0
25,1013.0,3,10.5,64.1,6650.0
26,1013.0,3,10.5,64.7,6650.0
27,1013.0,3,10.5,64.1,6650.0
28,1012.0,3,10.5,64.8,6650.0
29,1012.0,3,10.5,64.8,6650.0
30,1011.0,3,10.5,65.2,6650.0
31,1012.0,3,10.5,64.0,6650.0
32,1013.0,3,10.5,65.3,6650.0
33,1014.0,3,10.5,63.8,6650.0
34,1016.0,4,10.5,64.6,6650.0
35,1096.0,4,10.5,65.8,6650.0
36,1019.0,4,10.5,64.1,6650.0
37,1019.0,3,10.5,64.9,6650.0
38,1026.0,7,10.5,64.1,7000.0
39,1032.0,7,10.5,64.8,7000.0
40,1008.0,6,10.5,72.4,9100.0
41,1006.0,4,10.5,67.5,6650.0
42,1015.0,4,10.5,64.93,6475.0
43,1019.0,3,10.5,65.14,6650.0
44,1017.0,3,10.5,65.35,6650.0
45,1018.0,3,10.5,65.28,6650.0
46,1017.0,4,10.5,64.79,6475.0
47,1016.0,4,10.5,65.21,6650.0
48,1013.0,4,10.5,65.14,6650.0
49,1015.0,5,10.5,65.35,6650.0
50,1014.0,5,10.5,65.21,6650.0
51,1014.0,4,10.5,65.0,6650.0
52,1013.0,4,10.5,65.28,6825.0
53,1013.0,4,10.5,65.14,6825.0
54,1013.0,4,10.5,65.0,6825.0
55,1014.0,4,10.5,63.82,6300.0
56,1013.0,4,10.5,66.82,6825.0
57,1013.0,4,10.5,64.93,6825.0
58,1013.0,4,10.5,65.27,6825.0
59,1013.0,4,10.5,64.72,6825.0
60,1013.0,3,10.5,65.5,7000.0
61,1012.0,3,10.5,62.2,6525.0
62,1011.0,3,10.5,62.1,6600.0
63,1015.0,5,10.5,64.5,7800.0
64,1015.0,3,10.5,64.6,6900.0
65,1014.0,4,10.5,64.8,7025.0
66,1011.0,3,10.5,65.1,7045.0
67,1010.0,3,10.5,63.4,6700.0
68,1009.0,2,10.5,64.6,7100.0
69,1011.0,2,10.5,64.2,7025.0
70,1013.0,2,10.5,64.2,7125.0
71,1012.0,3,10.5,62.8,6800.0
72,1011.0,4,10.5,63.2,6900.0
73,1011.0,4,10.5,64.3,6975.0
74,1013.0,3,10.5,62.8,6550.0
75,1011.0,3,10.5,62.2,6525.0
76,1007.0,3,10.5,61.6,6550.0
77,1013.0,3,10.5,63.8,6125.0
78,1022.0,4,11.5,45.8,6290.0
79,1030.0,6,11.5,65.35,6475.0
80,1024.0,4,11.5,63.9,6475.0
81,1016.0,4,11.5,64.8,6475.0
82,1013.0,5,11.5,64.0,6475.0
83,1010.0,4,11.5,63.8,6475.0
84,1011.0,3,11.5,65.7,6475.0
85,1012.0,4,11.5,64.7,6475.0
86,1026.0,6,10.5,78.6,12800.0
87,1020.0,6,11.5,75.5,10875.0
88,1014.0,5,11.5,76.7,11575.0
89,1014.0,4,11.5,68.8,9500.0
90,1013.0,3,11.5,69.2,8550.0
91,1012.0,3,11.5,61.0,6050.0
92,1018.0,3,11.5,61.7,6125.0
93,1024.0,4,11.5,60.8,5675.0
94,1014.0,3,11.5,66.1,7000.0
95,1016.0,3,11.5,71.9,8400.0
96,1016.0,3,11.5,65.6,6475.0
97,1018.0,4,11.5,65.4,8575.0
98,1016.0,5,11.5,71.2,8925.0
99,1014.0,5,11.5,65.0,7875.0
100,1016.0,3,11.5,65.3,6650.0
101,1014.0,3,11.5,64.7,6475.0
102,1016.0,3,11.5,63.8,6300.0
103,1014.0,3,11.5,65.2,6650.0
104,1015.0,3,11.5,64.93,6650.0
105,1015.0,3,11.5,63.84,6125.0
106,1015.0,3,11.5,64.93,6825.0
107,1015.0,3,11.5,64.93,6825.0
108,1015.0,3,11.5,62.8,6150.0
109,1013.0,2,11.5,60.77,5750.0
110,1014.0,2,11.5,64.24,6300.0
111,1013.0,2,11.5,63.22,6300.0
112,1013.0,3,11.5,64.7,6300.0
113,1013.0,3,11.5,63.3,6300.0
114,1011.0,3,11.5,63.4,6300.0
115,1015.0,2,11.5,63.96,6475.0
116,1015.0,2,11.5,64.93,6650.0
117,1015.0,5,11.5,64.79,7000.0
118,1016.0,6,11.5,64.79,7175.0
119,1031.0,4,14.5,80.0,6290.0
120,1028.0,4,11.5,60.4,6290.0
121,1014.0,4,11.5,64.93,6300.0
122,1013.0,3,11.5,63.77,6650.0
123,1015.0,4,11.5,62.2,6075.0
124,1015.0,4,11.5,65.4,6850.0
125,1014.0,3,11.5,64.1,6525.0
126,1013.0,4,11.5,66.5,7350.0
127,1013.0,4,11.5,64.2,6975.0
128,1014.0,4,11.5,65.7,7300.0
129,1011.0,3,11.5,64.0,7100.0
130,1011.0,3,11.5,65.4,7275.0
131,1010.0,3,11.5,67.3,7850.0
132,1009.0,3,11.5,68.3,8625.0
133,1008.0,3,11.5,65.7,7975.0
134,1018.0,5,11.5,60.8,6525.0
135,1009.0,6,11.5,63.3,6525.0
136,1012.0,3,11.5,62.6,6450.0
137,1026.0,4,11.5,60.5,6857.0
138,1020.0,5,11.5,60.8,5625.0
