,cpress,w_force,draft_mean,rpm,stm_hrs,pwr,t_2
0,1019.0,2.0,18.4,75.39,24.0,11273.0,2.116581423852273
1,1018.0,3.0,18.39,72.9,24.0,8750.0,2.0002781369140914
2,1018.0,2.0,18.39,73.3,24.0,9275.0,2.4342830444521004
3,1018.0,4.0,18.39,72.9,24.0,9100.0,2.4058195461455854
4,1018.0,4.0,18.39,73.4,24.0,9275.0,2.379194066366899
5,1021.0,4.0,18.39,73.3,24.0,9275.0,2.6206259961412868
6,1021.0,2.0,18.39,73.3,24.0,6475.0,2.2743360474729886
7,1021.0,2.0,18.39,64.8,24.0,6475.0,1.7671041476468863
8,1021.0,3.0,18.385,64.6,24.0,6863.0,1.7799367952925709
9,1021.0,3.0,18.385,64.68,24.0,7086.0,1.76929053498126
10,1021.0,2.0,18.385,65.35,24.0,7358.0,1.719320446970666
11,1021.0,2.0,18.385,65.03,24.0,7333.0,1.745487962308622
12,1021.0,2.0,18.385,64.53,24.0,7408.0,1.793398346218393
13,1021.0,2.0,18.385,64.82,24.0,7358.0,1.76459544410212
14,1020.0,2.0,18.385,65.71,24.0,7408.0,1.7752509661065083
15,1020.0,3.0,18.385,64.97,24.0,7259.0,1.7782507705424597
16,1020.0,3.0,18.385,65.79,24.0,7333.0,1.6222899774949662
17,1021.0,3.0,18.385,64.62,24.0,7333.0,1.7772582485524402
18,1021.0,3.0,18.385,65.8,24.0,7309.0,1.6409729852293986
19,1021.0,3.0,18.385,64.59,24.0,7185.0,1.7812802854264744
20,1021.0,3.0,18.385,64.51,24.0,7185.0,1.7921285716680997
21,1016.0,3.0,15.3,77.0,24.0,11025.0,2.9748028801847894
22,1018.0,3.0,15.3,79.0,24.0,11550.0,2.295061384658641
23,1018.0,3.0,15.3,76.8,24.0,10500.0,1.846585057023184
24,1018.0,3.0,15.3,76.8,24.0,10500.0,1.846585057023184
25,1019.0,3.0,15.3,77.23,24.0,11375.0,2.0541318053055013
26,1019.0,3.0,15.3,79.0,24.0,11375.0,2.500507481919736
27,1020.0,4.0,15.3,77.7,24.0,11725.0,2.9585817391651688
28,1020.0,3.0,15.3,76.0,24.0,11200.0,2.2964147508591086
29,1017.0,4.0,8.93,64.45,24.0,7358.0,2.078563920709571
30,1018.0,4.0,8.93,63.9,24.0,7160.0,1.6430675975268934
31,1018.0,4.0,8.93,64.91,24.0,7383.0,1.512783034979625
32,1018.0,2.0,8.93,64.13,24.0,7135.0,2.001039171725517
33,1018.0,2.0,8.93,65.09,24.0,7309.0,1.9645238978188677
34,1018.0,2.0,8.93,64.29,24.0,7135.0,1.9928166928652251
35,1018.0,3.0,8.93,65.49,24.0,7383.0,1.0550749153600067
36,1018.0,4.0,8.93,64.57,24.0,7209.0,1.5528777632120214
37,1018.0,2.0,8.155000000000001,64.0,24.0,6300.0,2.067536216530753
38,1018.0,3.0,8.155000000000001,65.5,24.0,6650.0,1.1605524019760574
39,1018.0,3.0,8.155000000000001,64.0,24.0,6475.0,1.260311609331633
40,1017.0,3.0,8.155000000000001,65.3,24.0,6475.0,1.7207228147378322
41,1018.0,2.0,8.155000000000001,63.9,24.0,6475.0,2.0712966381491835
42,1020.0,3.0,8.155000000000001,63.8,24.0,6300.0,1.9461267259428345
43,1020.0,2.0,8.1,65.1,24.0,6475.0,2.5465932157211824
44,1018.0,3.0,8.1,63.8,24.0,6300.0,1.2865560225526598
45,1018.0,5.0,8.1,65.8,24.0,6650.0,2.5943282131336587
46,1019.0,4.0,8.1,63.9,24.0,6475.0,1.7570129990930345
47,1019.0,3.0,8.1,65.4,24.0,6650.0,1.3724369883116168
48,1017.0,4.0,8.25,64.8,24.0,6986.0,1.952809478891239
49,1018.0,3.0,8.08,65.4,24.0,6475.0,1.1757931022053802
50,1019.0,4.0,8.08,64.1,24.0,6650.0,1.7545696904194845
51,1019.0,4.0,8.08,64.1,24.0,6650.0,1.7545696904194845
52,1016.0,5.0,7.995000000000001,74.7,24.0,9625.0,2.9557696571359795
53,1021.0,3.0,7.83,65.63,24.0,7358.0,3.120158579066591
54,1019.0,3.0,7.790000000000001,65.3,24.0,6475.0,1.4603014762891229
55,1018.0,3.0,7.790000000000001,64.0,23.0,6300.0,7.349684152591674
