,cpress,w_force,draft_mean,rpm,speed_sog,pwr
0,1019.0,2,18.9,75.39,11.958333333333334,11273.0
1,1018.0,4,18.39,73.8,11.76923076923077,8925.0
2,1018.0,3,18.39,72.9,11.25,8750.0
3,1018.0,2,18.39,73.3,11.291666666666666,9275.0
4,1018.0,0,18.39,73.1,11.291666666666666,8925.0
5,1018.0,5,18.39,73.4,10.833333333333334,9275.0
6,1018.0,4,18.39,72.9,10.166666666666666,9100.0
7,1018.0,4,18.39,73.4,11.125,9275.0
8,1022.0,6,18.39,72.9,10.75,9800.0
9,1023.0,4,18.39,73.2,11.291666666666666,9100.0
10,1023.0,2,18.39,73.0,11.5,9100.0
11,1021.0,4,18.39,73.3,11.666666666666666,9275.0
12,1021.0,2,18.39,73.3,10.625,6475.0
13,1021.0,2,18.39,64.8,9.458333333333334,6475.0
14,1023.0,5,18.39,64.1,9.0,6475.0
15,1020.0,2,8.1,64.0,11.220657276995304,6300.0
16,1021.0,3,18.385,64.3,10.277777777777777,6857.0
17,1021.0,3,18.385,64.6,10.208333333333334,6863.0
18,1021.0,3,18.385,64.68,10.25,7086.0
19,1021.0,2,18.385,65.35,9.333333333333334,7358.0
20,1021.0,2,18.385,65.03,10.583333333333334,7333.0
21,1021.0,2,18.385,64.53,9.625,7408.0
22,1021.0,2,18.385,64.82,9.666666666666666,7358.0
23,1020.0,2,18.385,65.71,10.5,7408.0
24,1020.0,3,18.385,64.97,10.083333333333334,7259.0
25,1020.0,3,18.385,65.79,10.125,7333.0
26,1021.0,3,18.385,64.62,10.166666666666666,7333.0
27,1021.0,3,18.385,65.8,10.166666666666666,7309.0
28,1021.0,3,18.385,64.59,10.375,7185.0
29,1022.0,4,18.385,65.03,9.625,7234.0
30,1021.0,3,18.385,64.51,9.625,7185.0
31,1016.0,4,18.35,65.68,9.958333333333334,7358.0
32,1007.0,5,17.645,63.3,10.05181347150259,6246.0
33,1008.0,4,17.645,62.7,9.894736842105264,6216.0
34,1010.0,3,17.645,64.1,9.876543209876543,6374.0
35,1012.0,3,17.645,64.7,11.166666666666666,6486.0
36,1012.0,4,17.645,64.0,11.208333333333334,6329.0
37,1012.0,4,17.645,64.8,10.208333333333334,6757.0
38,1012.0,4,17.645,65.4,8.916666666666666,7185.0
39,1014.0,6,17.645,65.5,9.708333333333334,2005.0
40,1016.0,5,17.645,64.1,9.625,6419.0
41,1019.0,7,17.645,64.6,9.666666666666666,6599.0
42,1020.0,8,17.645,64.0,7.791666666666667,7027.0
43,1021.0,7,17.645,62.3,8.041666666666666,6486.0
44,1024.0,8,17.645,63.9,9.333333333333334,6689.0
45,1027.0,4,17.645,64.7,9.083333333333334,6712.0
46,1024.0,2,17.645,65.1,10.0,6532.0
47,1020.0,4,17.645,64.0,9.708333333333334,6059.0
48,1026.0,2,17.645,64.4,9.666666666666666,6284.0
49,1015.0,4,15.3,81.0,10.103092783505156,12775.0
50,1015.0,5,15.3,82.95,12.25,13300.0
51,1015.0,5,15.3,79.63,12.32,11725.0
52,1015.0,4,15.3,80.2,13.375,11725.0
53,1014.0,5,15.3,79.71,12.916666666666666,11025.0
54,1016.0,3,15.3,77.0,13.0,11025.0
55,1018.0,3,15.3,79.0,13.166666666666666,11550.0
56,1020.0,3,15.3,79.8,11.68,11375.0
57,1018.0,3,15.3,76.8,11.5,10500.0
58,1018.0,3,15.3,76.8,11.5,10500.0
59,1019.0,3,15.3,77.23,12.416666666666666,11375.0
60,1019.0,3,15.3,79.0,12.583333333333334,11375.0
61,1018.0,3,15.3,79.3,12.24,11375.0
62,1020.0,4,15.3,77.7,12.958333333333334,11725.0
63,1020.0,5,15.3,78.9,13.583333333333334,11550.0
64,1020.0,6,15.3,78.6,12.625,11550.0
65,1022.0,5,15.3,77.8,12.92,11550.0
66,1020.0,3,15.3,76.0,12.166666666666666,11200.0
67,1013.0,3,9.085,65.4,11.958333333333334,7000.0
68,1013.0,3,9.085,64.3,11.416666666666666,6300.0
69,1013.0,3,9.085,64.9,11.875,6650.0
70,1014.0,3,9.085,64.1,11.478260869565217,6300.0
71,1013.0,5,9.085,65.3,12.166666666666666,6475.0
72,1017.0,4,8.93,64.45,11.25,7358.0
73,1018.0,4,8.93,63.9,11.208333333333334,7160.0
74,1018.0,4,8.93,64.91,11.666666666666666,7383.0
75,1018.0,2,8.93,64.13,12.375,7135.0
76,1018.0,2,8.93,65.09,12.375,7309.0
77,1018.0,2,8.93,64.29,11.916666666666666,7135.0
78,1018.0,3,8.93,65.49,11.291666666666666,7383.0
79,1018.0,4,8.93,64.57,11.291666666666666,7209.0
80,1018.0,2,8.155000000000001,64.0,11.75,6300.0
81,1018.0,3,8.155000000000001,65.5,11.833333333333334,6650.0
82,1018.0,3,8.155000000000001,64.0,11.666666666666666,6475.0
83,1017.0,3,8.155000000000001,65.3,11.958333333333334,6475.0
84,1018.0,2,8.155000000000001,63.9,11.958333333333334,6475.0
85,1020.0,3,8.155000000000001,63.8,11.291666666666666,6300.0
86,1020.0,5,8.155000000000001,63.7,10.75,6300.0
87,1020.0,2,8.1,65.1,11.375,6475.0
88,1018.0,3,8.1,63.8,10.625,6300.0
89,1018.0,5,8.1,65.8,11.083333333333334,6650.0
90,1019.0,4,8.1,63.9,9.666666666666666,6475.0
91,1019.0,3,8.1,65.4,11.416666666666666,6650.0
92,1022.0,3,8.06,64.86,11.428571428571429,7135.0
93,1026.0,3,8.25,64.22,11.916666666666666,7135.0
94,1024.0,3,8.25,65.03,11.333333333333334,7259.0
95,1024.0,4,8.25,64.01,11.208333333333334,6912.0
96,1024.0,3,8.25,64.81,11.291666666666666,6912.0
97,1017.0,4,8.25,64.8,10.625,6986.0
98,1018.0,3,8.08,64.2,12.545454545454545,6300.0
99,1018.0,3,8.08,65.4,13.0,6475.0
100,1018.0,0,8.08,65.3,13.125,6475.0
101,1018.0,0,8.08,65.3,12.875,6475.0
102,1019.0,4,8.08,64.1,11.375,6650.0
103,1019.0,4,8.08,64.1,10.791666666666666,6650.0
104,1021.0,2,7.995000000000001,71.1,13.0,8050.0
105,1015.0,5,7.995000000000001,73.2,13.125,9100.0
106,1014.0,7,7.995000000000001,72.8,12.625,7186.0
107,1019.0,6,7.995000000000001,73.0,12.826086956521738,8925.0
108,1022.0,5,7.995000000000001,72.9,12.875,9100.0
109,1021.0,5,7.995000000000001,73.2,12.333333333333334,8925.0
110,1016.0,5,7.995000000000001,74.7,12.5,9625.0
111,1014.0,5,7.995000000000001,76.5,12.333333333333334,11025.0
112,1014.0,4,7.995000000000001,78.4,12.833333333333334,11200.0
113,1014.0,3,7.995000000000001,70.3,13.083333333333334,8750.0
114,1013.0,3,7.995000000000001,70.4,11.956521739130435,8750.0
115,1011.0,2,7.935,63.8,11.625,6081.0
116,1012.0,2,7.935,64.2,11.875,6351.0
117,1009.0,2,7.935,64.1,11.625,6284.0
118,1009.0,2,7.935,63.9,11.541666666666666,6419.0
119,1007.0,2,7.935,62.9,11.5,6081.0
120,1017.0,6,7.995000000000001,64.1,11.869565217391305,6134.0
121,1017.0,7,7.995000000000001,65.0,11.791666666666666,6464.0
122,1020.0,6,7.995000000000001,65.2,11.75,6329.0
123,1018.0,4,7.995000000000001,65.5,11.541666666666666,6284.0
124,1014.0,4,7.995000000000001,65.2,11.041666666666666,6419.0
125,1014.0,4,7.995000000000001,63.9,11.416666666666666,6104.0
126,1011.0,5,7.995000000000001,63.9,11.25,6126.0
127,1011.0,4,7.995000000000001,64.4,11.833333333333334,6261.0
128,1011.0,3,7.995000000000001,64.1,11.958333333333334,6081.0
129,1021.0,3,7.83,65.63,11.458333333333334,7358.0
130,1019.0,3,7.790000000000001,64.2,11.411764705882353,6300.0
131,1019.0,3,7.790000000000001,65.3,11.708333333333334,6475.0
132,1018.0,3,7.790000000000001,64.0,8.565217391304348,6300.0
