,cpress,w_force,draft_mean,speed_ship_sog,rpm,pwr
0,1017,7,7.995,11.25,65.0,6464
1,1020,6,7.995,11.25,65.2,6329
2,1018,4,7.995,11.25,65.5,6284
3,1014,4,7.995,11.25,65.2,6419
4,1014,4,7.995,11.25,63.9,6104
5,1011,5,7.995,11.25,63.9,6126
6,1011,4,7.995,11.25,64.4,6261
7,1011,3,7.995,11.25,64.1,6081
8,1011,2,7.935,11.25,63.8,6081
9,1012,2,7.935,11.25,64.2,6351
10,1009,2,7.935,11.25,64.1,6284
11,1009,2,7.935,11.25,63.9,6419
12,1007,2,7.935,11.25,62.9,6081
13,1007,5,17.645,9.75,63.3,6246
14,1008,4,17.645,9.75,62.7,6216
15,1010,3,17.645,9.75,64.1,6374
16,1012,3,17.645,9.75,64.7,6486
17,1012,4,17.645,9.75,64.0,6329
18,1012,4,17.645,9.75,64.8,6757
19,1012,4,17.645,9.75,65.4,7185
20,1014,6,17.645,9.75,65.5,2005
21,1016,5,17.645,9.75,64.1,6419
22,1019,7,17.645,9.75,64.6,6599
23,1020,8,17.645,9.75,64.0,7027
24,1021,7,17.645,9.75,62.3,6486
25,1024,8,17.645,9.75,63.9,6689
26,1027,4,17.645,9.75,64.7,6712
27,1024,2,17.645,9.75,65.1,6532
28,1020,2,17.645,9.75,64.0,6059
29,1026,2,17.645,9.75,64.4,6284
30,1021,2,7.995,11.25,71.1,8050
31,1015,5,7.995,11.25,73.2,9100
32,1014,7,7.995,11.25,72.8,7186
33,1019,6,7.995,11.25,73.0,8925
34,1022,5,7.995,11.25,72.9,9100
35,1021,5,7.995,11.25,73.2,8925
36,1016,5,7.995,11.25,74.7,9625
37,1014,5,7.995,11.25,76.5,11025
38,1014,4,7.995,11.25,78.4,11200
39,1014,3,7.995,11.25,70.3,8750
40,1013,3,7.995,11.25,70.4,8750
41,1013,3,9.085,11.25,65.4,7000
42,1013,3,9.085,11.25,64.3,6300
43,1013,3,9.085,11.25,64.9,6650
44,1014,3,9.085,11.25,64.1,6300
